summary,Category
sidoarjo radarjatimid bapak petani sidoarjo ir h bambang haryo soekartono bertemu gapoktan desa margobener kecamatan tarik kabupaten sidoarjo saat bertemu di area persawahan desa margobener perwakilan gapoktan mengeluhkan masih sulitnya air untuk mengairi persawahan padahal lokasi sawah para petani dekat dengan sungai jaraknya hanya beberapa meter saja kehadiran bhs panggilan akrab ir h bambang haryo soekartono ini awalnya ingin mengecek kondisi saluran air di persawahan tersebut sebelumnya bhs bersama tim bhs peduli pernah melakukan kerjabakti untuk membersihkan saluran air agar aliran air masuk ke persawahan dengan lancar “saya bersama tim bhs peduli hadir di desa margobener untuk melakukan pengecekan hasil kerja bakti membersihkan gorong gorong aliran air yang tersumbat mengakibatkan tanah di wilayah tersebut sekitar  hektar mengalami kekeringan bertahun tahun hasilnya aliran air sudah mengalir tapi petani khawatir endapan lumpur di sungai bisa menyumbat kembali aliran air” kata ir h bambang haryo soekartono untuk mengantisipasi agar aliran tidak tersumbat pihaknya meminta pemeritantah maupun balai besar wilayah sungai bbws untuk segera melakukan normalisasi sungai di wilayah itu termasuk ada perhatian dari pemerintah daerah mengenai anggaran pertanian yang perlu ditambah “tujuannya agar hasil pertaniandi sidoarjo bisa maksimal beras ada semuanya swasemada pangan kita harapkan warungwarung umkm umkm bisa hidup semua dari  ribu umkm  persen hidupnya mengantungkan dari beras saya mohon untuk perhatian para petani demi tumbuhnya ekonomi yang ada di wilayah sidoarjo” tegas ketua dewan penasehat dpd partai gerindra jatim ini anggota dpr ri periode  ini menambahkan  dari aspirasi petani yang disampaikan selama ini normalisasi sungai yang dekat dengan persawahan di desa margobener belum dilakukan hingga banyak tumbuhan liar dan saluran air menjadi menyempit “sudah beberapa kali saya kesini bahkan kami kerja bakti bersama untuk menangani endapan lumpur yang nutup saluran air alhamdulillah sudah sempat air nya mengalir untuk sawah petani tapi ini kembali mengalami kebuntuan akibat endapan lumpur” ungkap bambang haryo sementara itu ketua gapoktan desa margobener bapak gatot iswandi membenarkan bahwa pembukaan saluran air lewat sudetan sungai sekunder yang dibantu oleh ir h bambang haryo soekartono kembali buntu karena tersumbat lumpur akibat pendangkalan sungai pihaknya berterima kasih karena bhs kembali hadir dan peduli akan nasib para petani “kami kembali meminta bantuan kepada pak bhs mengawal dan menyampaikan aspirasi petaniagar normalisasi sungai sekunder ini dapat mengairi sungai tersier yang kita buat untuk area persawahan” ujar gatot iswandi  red,Ekonomi Bisnis
surabaya radarjatimid — pertumbuhan ekonomi kota surabaya dimaknai untuk mendorong terciptanya kualitas hidup yang baik dan memajukan kesejahteraan masyarakat kota surabaya melalui penyelenggaraan perdagangan dan perindustrian perlunya kehadiran pemerintah kota surabaya terhadap penyelenggaraan perdagangan dan perekonomian melakukan pembinaan pada pelaku ekonomi hingga penataan sarana supaya aktivitas perekonomian dapat terlaksana secara optimal angka inflasi dapat dikendalikan dalam beberapa bulan terakhir dibawah  persen  tercatat pada bulan februari  sebesar  persen  lalu pada maret   persen dan pada april  sebesar  persen selain itu pertumbuhan ekonomi tercatat naik sebesar  persen pada tahun  sehingga memberikan dampak positif bagi perekonomian kota surabaya dari segi pendapatan dan belanja daerah maupun sektor perdagangan dan perindustrian wakil walikota surabaya armuji menyebutkan kehadiran pemerintah kota surabaya dalam harmonisasi retail dengan pelaku umkm dengan diterbitkannya peraturan daerah nomor  tahun  tentang perdagangan dan perindustrian “pemerintah kota hadir untuk meningkatkan kualitas perdagangan dan perindustrian  hingga menciptakan kepastian hukum dalam penyelenggaraan perdagangan”  kata armuji pihaknya menyebutkan yang diatur diantaranya pasar rakyat  pusat perbelanjaan  pasar swalayan hingga toko eceran atau tradisional cak ji mengungkapkan bahwa pembinaan dan pengawasan adalah wujud perhatian pemerintah kota surabaya mendistribusikan akses ekonomi secara berkeadilan “diatur juga  jarak toko swalayan dengan pasar rakyat sekurang – kurangnya  meter sehingga dapat memberikan kenyamanan bagi pelaku ekonomi kerakyatan dan menciptakan iklim usaha yang sehat” tegas cak ji yang politisi senior pdi perjuangan ini disampaikan bahwa keseimbangan antara retail  pasar rakyat dan umkm harus dijaga dengan memperhitungkan kondisi sosial ekonomi masyarakat setempat sehingga tidak ada istilah pasar rakyat tergerus dengan retail “berjalan beriringan untuk surabaya yang lebih baik” pungkasnya red,Ekonomi Bisnis
sidoarjo radarjatimid para pedagang pasar prambon desa prambon kecamatan prambon kabupaten sidoarjo bergembira saat ir h bambang haryo soekartono bhs hadir di pasar prambon founder bambang haryo soekartono bhs peduli ini memang tidak hanya sekedar hadir meninjau pasar dan memantau harga namun juga memberikan apresiasi kepada para pedagang yang dinilai punya stand terbersih terlaris dan harga yang terjangkau oleh konsumen ada tiga pedagang yang mendapatkan penghargaan berupa piala dan hadiah uang tunai yang dipilih oleh tim bhs peduli dan hadiah langsung diserahkan pada jumat   pemberian apresiasi ini sebagai wujud dukungan kepada para pedagang untuk terus meningkatkan pelayanan kepada para konsumen dan mewujudkan agar pasar prambon bisa berstandar sni “pasar prambon ini memiliki letak yang strategis menempati lahan pas disebelah jalan utama provinsi serta berdekatan dengan mojokerto harusnya pasar ini lebih dibaguskan lagi dari segi bangunan dan tempat parkir yang aman dan layak” kata ir  h bambang haryo soekartono pihaknya juga meminta agar sewa stand pasar bisa dikembalikan dari masa sewa  tahunan menjadi  tahunan sebab pedagang mengeluh masa sewa yang masanya malah lebih pendek saat blusukan di dalam pasar pihaknya sudah melihat semua komoditas masih dijual dengan harga yang wajar dan ada penurunan harga termasuk dari sisi kebersihan juga sudah bagus baik dari stand sampai fasilitas toilet di dalam pasar kendati untuk menuju pasar ber standar sni dikatakan masuk banyak hal yang perlu dibenahi “seperti timbangan terra dan papan komiditas harga tidak ada” tambah anggota dpr ri periode  ini agung pedagang sayur penerima piala dan hadiah juara  dari nominasi pedagang dengan harga terjangkau mengaku kaget saat dirinya terpilih dia tak menyadari selama beberapa hari ada tim bhs peduli yang melakukan penilaian di pasar tempat nya berdagang “alhamdulillah ngak nyangka semoga bisa bermanfaat dan semoga pasar semakin ramai uang hadiahnya bisa buat tambah modal” kata agung bantu cctv untuk keamanan pasar saat berdialog dengan pedagang ir h bambang haryo soekartono mendapatkan banyak masukan untuk kemajuan pasar salah satunya mengenai keamanan pasar yang perlu terus di tingkatkan agar pedagang maupun pengunjung pasar merasa aman dan nyaman saat berbelanja sebelumnya di pasar prambon kerap terjadi pencurian hingga akhirnya kini sudah terpasang cctv namun dari jumlahnya saat ini dirasa masih kurang untuk memantau wilayah yang dinilai rawan kejahatan “perlu ditambah cctv pak biar tambah aman” kata maslacah salah satu pedagang untuk menindak lanjuti aspirasi ini bhs akan memberikan bantuan berupa  unit cctv untuk di pasang di titik titik yang dinilai rawan  “pasar ini dulu sering sekali ada kasus pencurian oleh sebab itu kali ini saya akan memberikan bantuan  cctv untuk menambah dan meningkatkan tingkat keamanannya” kata bhs yang juga dewan pakar dpp partai gerindra ini dorong teras bri kembali dihidupkan bhs juga mendorong agar teras bri di pasar prambon untuk kembali dihidupkan selama ini teras bri tutup padahal selama ini bisa membantu permodalan untuk pedagang dengan bunga yang terjangkau teras bri juga bisa dimanfaatkan untuk nasabah yang tinggalnya jauh dari fasilitas kantor cabang bri “bri teras ini di pasar yang terbesar di wilayah perbatasan sidoarjo harus ada sebenarnya tidak boleh bri meninggalkan pasar ini karena pedagangnya bisa pinjam di sini harus dibuka kembali pasar harus wajib dilengkapi dengan perbankkan” tegasnya sementara itu ketua paguyuban pasar prambon h abdul wachid menyampaikan apresiasi atas kunjungan ir h bambang haryo soekartono sebab selain berkunjung bhs juga memberikan suport terhadap para pedagang baik pemberian hadiah uang tunai hingga bantuan cctv “kami sampaikan terima kasih atas kepedulian beliau yang mau berkunjung ke pasar prambon dan mau menyerap aspirasi kami” kata h abdul wachid red,Ekonomi Bisnis
sidoarjo radarjatimid — program kelompok usaha perempuan mandiri kurma yang dijalankan di kabupaten sidoarjo mendapatkan perhatian dari pakar ekonomi dialah pakar ekonomi universitas muhammadiyah sidoarjo isna fitria agustina yang mengomentari program kurma menurutnya inisiatif ini merupakan langkah yang tepat dalam mengatasi kesenjangan gender di sektor ekonomi menurutnya perempuan itu memiliki potensi besar sebagai agen perubahan ekonomi namun mereka sering menghadapi tantangan seperti akses terbatas terhadap modal keterbatasan pengetahuan bisnis dan kesulitan mendapatkan pelatihan “dengan adanya program kurma yang digagas pemkab sidoarjo mampu mengatasi hambatan ini dengan memberikan dukungan komprehensif kepada kelompok usaha perempuan” katanya isna juga menambahkan program kurma memberikan berbagai fasilitas kepada kelompok usaha perempuan mulai dari pendanaan sebesar  juta hingga  juta per kelompok pelatihan dan   pendampingan dengan dukungan ini perempuan di kabupaten sidoarjo dapat mengembangkan usaha mereka dan memperoleh kemandirian ekonomi selain itu program ini juga bertujuan untuk memperkuat keterampilan perempuan dalam memasarkan produk mereka dan memperluas jaringan bisnis “program ini bagus namun yang masih menjadi kendala adalah butuh pendampingan secara berkelanjutan yaitu menumbuhkan etos dan motivasi dari perempuan mandiri sebab saat ini banyak di lapangan yang sudah mendapatkan kurma malah terkadang tidak siap untuk menjadi umkm yang go to ekspor karena butuh sdm yang lebih banyak dan juga permodalan sehingga diharapkan pemerintah ikut memberikan motivasi kepada perempuan terhadap pandangan luas tentang go to ekspor” jelas dosen adminitasi keuangan umsida isna juga berharap agar kedepan ada sinergitas antar opd maupun pihak terkait agar tercipta good governance sehingga mampu meningkatkan pertumbuhan ekonomi kabupaten sidoarjo dirinya mencontohkan jika ada umkm yang butuh modal dan sudah berkembang maka bisa dilakukan kerjasama dengan mahasiswa atau dengan dinas terkait seperti dpakb dinas pengendalian penduduk pemberdayaan perempuan dan perlindungan anak seperti perempuan mana yang perlu di berdayakan “ketika perempuan secara aktif terlibat dalam perekonomian hal itu dapat berkontribusi pada pertumbuhan ekonomi yang lebih inklusif dan berkelanjutan perempuan juga cenderung menggunakan penghasilan mereka untuk memenuhi kebutuhan keluarga dan meningkatkan kesejahteraan rumah tangga secara keseluruhan” tambahnya ia juga menegaskan pentingnya evaluasi dan pemantauan program kurma secara berkala untuk memastikan keberlanjutan dan efektivitasnya “evaluasi untuk program kurma dalam jangka panjang program ini harus mampu menghasilkan dampak yang berkelanjutan dan memberikan manfaat bagi perempuan dan masyarakat secara keseluruhan” tegasnya mad,Ekonomi Bisnis
sidoarjo radarjatimid —  indonesia islamic business forum sidoarjo iibf sidoarjo sukses menggelar acara “kopdar pengusaha sesidoarjo” dengan tema “strategi optimasi google my business gmb” acara yang diselenggarakan oleh lf alfatih pada  itu bertujuan untuk memberikan pelatihan kepada para pengusaha umkm di sidoarjo agar dapat meningkatkan penjualan dan omset bisnis mereka pada acara tersebut pembicara utama adalah jupri massaid selaku pemilik malika jaya yang merupakan spesialis dalam pembuatan tangga bergaransi dalam acara ini dirinya tak ragu untuk berbagi pengalaman serta strategi sukses dalam memanfaatkan google my business sebagai salah satu cara untuk meningkatkan penjualan dalam paparannya menekankan betapa pentingnya mengoptimalkan kehadiran bisnis di platform google my business untuk mencapai kesuksesan sementara itu akhmad faris putra ketua dpd iibf sidoarjo sekaligus pemilik franchisee new primagama sidoarjo pondok jati yang hadir sebagai pemandu acara memberikan informasi yang berguna bagi para peserta terkait cara memaksimalkan google my business agar usaha mereka dapat berkembang secara maksimal “google my business menjadi salah satu cara untuk dapat meningkatkan penjualan dan ada sesi lanjutan jika ada tanya jawab di wa grup kami membantu para umkm semaksimalkan agar tercipta umkm sidoarjo yang kuat berdaya dan sejahtera” ujar faris lebih lanjut dirinya berharap agar acara ini menjadi langkah awal dalam meningkatkan kualitas dan kemampuan para pelaku umkm di sidoarjo “kami dari iibf tiap bulan mengadakan event ini bagi yang belum sempat mengikuti acara hari ini kami ingin menciptakan umkm kelas dunia silahkan bergabung di bitlyiibfsidoarjo” imbuhnya dalam pesan positifnya kepada para pengusaha muda faris mengingatkan mereka untuk berbisnis dengan kebahagiaan dan hidup dengan keseriusan ia meyakinkan bahwa dengan menggabungkan semangat dan dedikasi yang tinggi para pengusaha muda dapat meraih kesuksesan yang diimpikan acara “kopdar pengusaha sesidoarjo” yang sukses digelar oleh lf alfatih dengan dukungan iibf sidoarjo menjadi ajang inspiratif bagi para pengusaha umkm di sidoarjo melalui pelatihan strategi optimasi google my business gmb para pengusaha muda diharapkan dapat mengoptimalkan kehadiran bisnis mereka secara online dan meningkatkan penjualan serta omset bisnismad,Ekonomi Bisnis
gresik radarjatimid — festival pasar santri yang digelar pimpinan cabang gerakan pemuda pc gp ansor kabupaten gresik jawa timur resmi dibuka senin  malam ratusan umkm yang ambil bagian dalam even ini merupakan bukti bahwa potensi ekonomi lokal kembali menggeliat dan bertumbuh kegiatan dalam rangka harlah go ansor ke ini digelar selama  hari di gelora joko samudro gjos festival meriah ini berhasil menarik perhatian pengunjung dari berbagai kalangan ratusan umkm obralan produk murah kuliner dan jajanan obralan durian wahana bermain dan lainlain menambah meriah festival ini umkm lokal yang dikelola oleh masyarakat setempat turut memamerkan produkproduk unggulan mereka ketua pc gp ansor gresik abdul rokhim mengatakan kegiatan ini merupakan bagian dari upaya pemulihan ekonomi setelah  tahun terdampak oleh covid “ini agar ekonomi umkm terus berjalan meningkatkan dan memberdayakan sektor umkm di daerah gresik” katanya saat sambutan pembukaan festival senin  malam pria yang akrab disapa kasdul ini menyatakan festival pasar santri merupakan wujud nyata dari semangat kemandirian ekonomi yang ditanamkan kepada generasi muda saat ini “kami berharap kegiatan ini dapat mendorong perkembangan umkm di gresik dan membantu meningkatkan kesejahteraan masyarakat sekitar” ujarnya dalam kesempatan yang sama pengurus pimpinan wilayah pw gp ansor jawa timur h agus junaidi hamzah menyampaikan apresiasinya kepada pc gp ansor gresik atas inisiatif mereka dalam mengadakan festival pasar santri “ini adalah langkah yang sangat baik dalam mengembangkan potensi ekonomi umkm daerah pemudapemuda kita tidak hanya unggul dalam bidang keagamaan tetapi juga mampu berinovasi dan berkontribusi dalam perekonomian lokal” ketua gp ansor cabang gresik  –  ini sementara itu kepala dinas badan kesatuan bangsa dan politik kesbangpol gresik nanang setiawan juga memberikan sambutannya sebagai perwakilan dari pemerintah daerah dia mengapresiasi upaya yang dicanangkan oleh gp ansor gresik dalam menggelar festival yang berfokus pada pengembangan ekonomi daerah “dalam semangat persaudaraan dan kebersamaan serta satu komando kami mendukung festival ini sebagai langkah konkret untuk memajukan ekonomi lokal” ungkapnya sto,Ekonomi Bisnis
surabaya radarjatimid — pt pegadaian membantu para pelaku usaha ultra mikro dan umkm yang sering mengalami kendala dalam mengambangkan bisnisnya begitu pula para penyandang disabilitas bekerja sama dengan organisasi masyarakat dan sosial alunjiva indonesia perusahaan pelat merah ini memberikan pelatihan kewirausahaan di rumah bumn surabaya senin  program pelatihan kewirausahaan ini merupakan kolaborasi multisektor antara bumn dan wirausaha disabilitas agar dapat mengembangkan keterampilan bisnis selain itu juga mampu menciptakan inovasi terhadap produk usahanya sehingga mampu menjadi wirausaha disabilitas yang mandiri bertumbuh dan berdaya kepala divisi tanggung jawab sosial dan lingkungan tjsl rully yusuf menyatakan salah satu fokus pegadaian pada program itu yaitu pengembangan umkm melalui program ini diharapkan para peserta  mampu meningkatkan kapabilitas dan memaksimalkan penggunaan teknologi informasi digital dalam pengembangan dan pemasaran usahanya “sejalan dengan program pemerintah bahwa para pelaku umkm harus melek teknologi untuk go digital dan go global kegiatan ini menjadi bukti komitmen kami bahwa pegadaian senantiasa mendukung apa yang dilakukan oleh pemerintah agar membuat kualitas umkm di indonesia dapat naik kelas” jelas rully selain itu rully menambahkan dengan adanya pendampingan seperti ini pegadaian juga mendorong para pelaku usaha untuk ikut serta memberikan dampak sosial dan lingkungan yang dapat bermanfaat bagi keberlanjutan hidup masyarakat khususnya dalam kesejahteraan ekonomi “kami akan melakukan pendampingan selama  bulan sampai para wirausaha disabilitas ini bisa memahami value yang dapat dihasilkan dari pengembangan usahanya kami juga akan memberikan strategi pengembangan usaha dari mulai mengatur operasional sales dan strategi marketing produk seperti melakukan pemasaran menggunakan media sosial dan marketplace” tambah rully adapun peserta disabilitas yang telah lulus proses kurasi dan ikut dalam program pendampingan kewirausahaan ini di antaranya penyandang tuna daksa autisme tuna netra dan tuna rungu metode pendampingan dilakukan pelatihan secara offline dan online peserta dapat berdiskusi langsung bersama mentor untuk membahas permasalahan hingga pengembangan usaha yang telah dijalani agenda kegiatan meliputi pelatihan secara daring maupun luring kemudian dilakukan pendampingan sepanjang bulan juni hingga agustus  acara ditutup dengan pelepasan peserta pada akhir bulan agustus melalui pelatihan ini diharapkan para pelaku usaha ultra mikro maupun umkm yang menjadi peserta semakin berkembang usahanya eru,Ekonomi Bisnis
jakarta radarjatimid — pt pegadaian menargetkan tambahan modal kerja sebanyak rp  triliun melalui peluncuran obligasi dan sukuk surat berharga syariah dengan jangka waktu book building mulai  sampai dengan  mei  besar kupon obligasi yang ditawarkan untuk seri a  hari dengan kisaran  sedangkan untuk seri b  tahun dengan kisaran  untuk kepenrtingan tersebut pegadaian menggandeng beberapa perusahaan sekuritas ternama sebagai joint lead underwriter jlu di antaranya pt indo premier sekuritas ips pt bca sekuritas bcas pt bni sekuritas bnis pt bri danareksa sekuritas brids dan pt mandiri sekuritas ms sekretaris perusahaan pt pegadaian yudi sadono menyatakan berdasarkan pemeringkatan pt pefindo biro kredit obligasi dan sukuk pegadaian menduduki peringkat idaaa triple a dan idaaasy triple a syariah efek utang dengan peringkat idaaa merupakan peringkat tertinggi yang diberikan oleh pefindo hal ini berarti emiten mempunyai kemampuan untuk memenuhi kewajiban keuangan jangka panjang atas efek utang tersebut dibandingkan emiten indonesia lainnya adalah superior “dengan peringkat obligasi dan sukuk pegadaian triple a tersebut maka para investor tidak khawatir atas dana yang diinvestasikan hal ini mengingat kinerja operasional maupun kinerja keuangan perusahaan sangat sehat risiko investasi yang dilakukan minimal sehingga menguntungkan bagi investor” ungkap yudi dalam keterangan tertulisnya jumat  lebih lanjut yudi mengatakan obligasi dan sukuk pegadaian tidak dapat diperoleh secara retail dengan demikian investor yang menjadi sasaran bukan merupakan investor individu atau perorangan ia berharap perusahaanperusahaan yang akan melakukan investasi melalui obligasi dan sukuk pegadaian segera menghubungi tim jlu untuk melakukan pemesanan eru,Ekonomi Bisnis
sidoarjo radarjatimid meskipun baru  bulan berdiri koperasi agar makmur sentosa ams dusun tlocor desa kedungpandankecamatan jabon sudah mampu melakukan ekspor rumput laut kering jenis gracilaria atau alga merah keluar negeri heri sudarmono ketua koperasi ams tlocor mengatakan bahwa pada ekspor perdana ini pihaknya baru mampu mengirimkan  ton rumput laut ke negara cina dari jumlah permintaan sebesar  tonbulan jum’at  “pada hari ini kami ekspor perdana ke cina dengan kapasitas  ton sebenarnya kalau berbicara soal permintaan mereka mintanya sekitar  tonbulan” katanya diungkapkan oleh heri bahwa untuk saat ini koperasi ams tlocor belum bisa memenuhi permintaan  tonbulan dikarenakan produksi rumput dari para petani tambak saat ini hanya mampu memproduksi  ton setiap bulannya “selain itu kami juga harus maintenance customer lokal jadi tidak semuanya kami ekspor untuk sementara kami baru bisa mengirimkan  kontainer atau  ton sampai  ton setiap bulannya” ungkapnya secara bertahap pihaknya akan berusaha memenuhi permintaan ekspor rumput laut ke cina selain permintaan dari cina koperasi ams tlocor juga mendapatkan permintaan dari perusahaan uluu di australia perusahaan uluu membutuhkan rumput laut dari koperasi ams tlocor sebesar  ribu ton per tahun atau sekitar  ton setiap bulannya “untuk memenuhi permintaan mereka saat ini kami sedang melakukan revitalisasi tambak sekitar  hektar lebih supaya bisa dipergunakan untuk budidaya rumput laut” ujarnya selain itu perusahaan uluu australia akan berinvestasi senilai rp  milyar untuk menunjang produktifitas dan kualitas rumput laut dibawah binaan koperasi ams tlocor tampak hadir dalam acara tersebut diantaranya dari politeknik kelautan dan perikanan sidoarjo dinas perikanan dan kelautan kabupaten sidoarjo serta dinas koperasi dan usaha mikro kabupaten sidoarjo mams,Ekonomi Bisnis
gresik radarjatimid — pengurus asosiasi pengembang perumahan dan pemukiman seluruh indonesai apersi dpd jatim korwil gresik raya periode  –  dilantik di hotel santika gresik rabu  korwil gresik raya meliputi kabupaten gresik lamongan tuban dan bojonegoro saat hadir pada kesempatan tersebut bupati gresik fandi akhmad yani mengapresiasi acara halal bihalal dan pengukuhan pengurus dpd apersi korwil gresik raya ia berharap kinerja anggota apersi berdampak dalam memenuhi kebutuhan masyarakat akan properti “gresik hari ini sudah menjadi kabupaten yang sangat siap untuk layak huni ini karena kabupaten gresik mampu berkembang secara progresif” ujarnya menurut bupati yang akrab disapa gus yani itu momen silaturahmi dan halal bihalal dapat semakin mempererat koordinasi dan sinergi antara apersi dan pemerintah untuk andil membangun kabupaten gresik “untuk maju dan berkembang bersama dibutuhkan kolaborasi kehadiran apersi harus mampu menjawab kebutuhan masyarakat akan properti” ungkapnya di sisi lain lanjut bupati kehadiran apersi memiliki andil dalam upaya pengentasan kemiskinan dan pertumbuhan ekonomi dengan menyerap lebih banyak tenaga kerja di tempat sama ketua dpd apersi jawa timur makhrus sholeh  menyampaikan korwil gresik adalah yang ke dalam pengukuhan kegiatan dilaksanakan di gresik karena di kota industri yang maju maju kebutuhan akan properti juga berkembang pesat “kehadiran pak bupati jadi motivasi kami semua pengurus untuk bangkit dan serius memajukan apersi serta ikut andil membangun kabupaten gresik” katanya dikatakan apersi akan berkolaborasi dengan pemerintah kehadirannya  membawa maksud dan tujuan yang mulia yaitu mewujudkan perumahan untuk masyarakat “mari kita kembangkan diri tim dan pengurus untuk kepuasan pelanggan dalam memilih properti karena sebaikbaik manusia adalah yang bermanfaat bagi orang lain” pungkasnya sto,Ekonomi Bisnis
bandung radarjatimid fakultas kedokteran hewan universitas airlangga mengadakan pengabdian masyarakat pengmas di desa cipatat kecamatan cipatat yang merupakan sentra peternakan kambing di wilayah bandung pengmas berlangsung  mei  cipatat potensial menjadi sumber pengembangan peternakan kambing dan domba sebagai sumber protein hewani namun model beternak yang digunakan masih tradisional hanya sebagai sambilan kerja hal itu menyebabkan perkembangan dan pertambahan populasi ternak kambing dan domba di cipatat terhambat dan belum menguntungkan peternak peternak di cipatat masih memberikan pakan dan kondisi kandang pun seadanya hal itu menyebabkan bau yang sangat tajam sehingga tidak baik untuk kesehatan maupun reproduksi ternak kambing dan domba di cipatat suhu udara di cipatat sangat mendukung untuk perkembangan dari ternak kambing dan domba namun peternak di sana belum memiliki pengetahuan memadai terkait bagaimana manajemen kandang dan pakan demikian juga dengan pengetahuan terkait kesehatan dan gangguan reproduksi pada ternak pengmas merupakan salah satu unsur tridharma perguruan tinggi yang wajib dilaksanakan oleh dosen pengmas kali ini dimotori oleh guru besar fkh unair dalam bidang embriologi sekaligus  bertindak sebagai ketua proyek prof dr widjiati msi drh pelaksanaan pengmas berkolaborasi dengan pt pesona satwa cipatat terdapat  orang peternak kambing dan domba  yang akan mendapatkan pelatihan dan penyuluhan oleh tim pengmas terdiri dari  orang pembicara dan  orang dosen yang bertugas dalam pemeriksaan kesehatan serta penanganan gangguan reproduksi ternak beberapa materi yang diberikan oleh para pembicara antara lain pertama gangguan reproduksi ternak domba oleh prof dr imam mustofa drh mkes kedua pakan ternak domba pedaging dan perah oleh dr anam al arief  drh mp ketiga recording dan manajemen peternakan oleh dr epy muhammad luqman drh msi keempat penyakit parasit pada domba dan penanganannya oleh prof dr poedji hastutiek drh msi kelima kesehatan ternak domba oleh dr nusdianto triakoso drh mp keenam pengobatan tradisional pada ternak domba oleh prof dr iwan sahrial hamid drh msi ketujuh pentingnya dan tata pelaksanaan vaksinasi pada ternak oleh prof dr jola rahmahani drh mkes kedelapan dinamika permasalahan dalam usaha peternakan oleh prof dr  widjiati msi drh kesembilan mikrobiologi dan virologi pada ternak oleh dr wiwiek tyasningsih drh mkes kesepuluh peran feed aditif pada ternak kambing domba oleh prof dr widya paramitha l msi drh terakhir usg pada domba kambing oleh prof dr herry agus hermadi dr hmsi wakil dekan  fkh unair prof dr iwan sahrial hamid drh mkes selain sebagai pembicara sekaligus mewakili pimpinan fakultas kedokteran hewan univetsitas airlangga ikut mendampingi tim pengmas selama berada di cipatat targetnya bisa membantu menyelesaikan masalah yang dihadapi para peternak kambing dan domba di desa cipatat kecamatan cipatat bandung adapun hasil yang diharapkan dari pengmas di cipatat antara lain perbaikan manajemen kandang atau tata kelola domba dapat mendukung perbaikan kondisi kesehatan ternak domba selain itu perbaikan pola pemberian pakan ternak domba dapat meningkatan berat badan ternak domba kemudian pengobatan pada ternak domba yang sakit dapat meningkatkan kesehatan ternak domba terakhir penanganan gangguan reproduksi dapat meningkatkan angka kebuntingan dan kelahiran anak red,Ekonomi Bisnis
sidoarjo radarjatimid — pengurus indonesian islamic business forum iibf sidoarjo menggelar acara halal bihalal bersama para pengusaha muslim se sidoarjo di warung apung rahmawati sidoarjo kegiatan yang dilaksanakan pada jumat  tersebut sekaligus sebagai momen serah terima jabatan ketua iibf sidoarjo periode  –  yang saat ini di nahkodai akhmad faris putra ketua dpw iibf jawa timur dicky fanani mengatakan akhmad faris putra yang sering dipanggil mas faris adalah seorang anak muda yang selalu ceria energik humble dan visioner “semoga dengan ditunjuknya ketua iibf sidoarjo yang baru ini bisa menyegarkan suasana bagi iibf sidoarjo lebih maju dan bermanfaat bagi anggota dan organisasinya” terang dicky selain itu akhmad faris putra sebagai ketua iibf sidoarjo terpilih periode  –  menyebut kegiatan halal bihalal yang di adakan ini bertujuan untuk memperkuat kaderkader iibf sidoarjo “kedepan saya sebagai nahkoda atau ketua yang baru ingin merangkul seluruh anggota kader khususnya di iibf sidoarjo untuk menjalin sinergi guna memperkaya ilmu hingga bagaimana manajemen bisnis mereka dapat berkembang” papar pria yang akrab disapa faris itu faris juga berpesan kepada seluruh para pengusaha muslim yang tergabung di iibf sidoarjo ini dapat memberi motivasi dan inspirasi bagi pengusaha lokal lainnya seperti didaerah sidoarjo surabaya dan malang sebagai informasi kegiatan halal bihalal kali ini turut mengundang dr hc heppy trenggono presiden iibf h sutrisno vice presiden iibf jawa timur joko kris busono ketua iibf dpd malang raya erik marsudi utomo ketua iibf dpd surabayamad,Ekonomi Bisnis
